codigo,nombre
CQ431,QUIMICA Y GESTION AMBIENTAL
CQ461,SEMINARIO DE ELABORACION DE LA TESIS PROFESIONAL
CQ472,QUIMICA DE MATERIALES
CQ482,GESTION DE LA CALIDAD DE LABORATORIOS
CQ491,TECNICAS ELECTROQUIMICAS Y CROMATOGRAFICAS EN QUIMICA ANALITICA
CQ4E1,QUIMICA CUANTICA
CQ4E2,PROYECTO DE TESIS EN QUIMICA I
CQ501,PROCESOS QUIMICOS INDUSTRIALES
CQ511,DISEÑO ORGANIZACIONAL Y SEGURIDAD EN EL LABORATORIO
CQ541,PROYECTO DE TESIS EN QUIMICA II
CQ542,PROYECTO DE TESIS EN QUIMICA III
IF242,INTRODUCCION A LA METROLOGIA
IF252,METODOS MATEMATICOS PARA INGENIERIA
IF281,DIBUJO Y DISEÑO PARA INGENIERIA
IF292,INGENIERIA DE PROCESOS MECANICOS
IF294,INGENIERIA DE INSTALACIONES INDUSTRIALES
IF321,CALCULO NUMERICO I
IF325,FISICA TERMICA II
IF352,FISICA TERMICA I
IF372,ELECTROMAGNETISMO PARA INGENIERIA
IF392,CALCULO NUMERICO II
IF3A2,INGENIERIA ECONOMICA
IF3B2,PROCESAMIENTO DE SEÑALES Y DATOS
IF411,MECANICA CUANTICA
IF462,TEORIA DE CONTROL
IF471,SISTEMAS DIGITALES
IF482,INTRODUCCION A LA CIENCIA E INGENIERIA DE LOS MATERIALES
IF492,INGENIERIA SOLAR
IF4A1,MECANICA DE FLUIDOS
IF4A2,PROYECTO DE TESIS I
IF4B1,METODOLOGIA DE LA INVESTIGACION CIENTIFICA
IF511,PROYECTO DE INSTRUMENTACION ELECTRONICA
IF543,PROYECTO DE TESIS II
IF554,PROYECTO DE TESIS III
IF562,TECNICAS FISICAS PARA LA INDUSTRIA
IFE19,TOPICOS ESPECIALES DE INGENIERIA FISICA
IFE22,TOPICOS ESPECIALES DE INGENIERIA FISICA I
IFE28,TOPICOS ESPECIALES DE INGENIERIA FISICA VII
IFE29,TOPICOS ESPECIALES DE INGENIERIA FISICA VIII
